date;time;species;infestation;replicate;specimen;wet_wgt;dry_wgt;inf_size
18/04/2021;90;Oxystele antoni;non infested;2;1;471,50;300,80;11,00
18/04/2021;90;Oxystele antoni;non infested;2;2;251,90;161,90;10,00
18/04/2021;90;Oxystele antoni;non infested;2;3;457,90;284,10;11,00
18/04/2021;90;Oxystele antoni;infested;2;1;293,50;188,40;11,00
18/04/2021;90;Oxystele antoni;infested;2;2;133,70;125,80;10,00
18/04/2021;90;Oxystele antoni;infested;2;3;261,00;164,30;10,00
18/04/2021;90;Oxystele antoni;non infested;3;1;480,10;306,50;11,00
18/04/2021;90;Oxystele antoni;non infested;3;2;166,70;106,30;7,00
18/04/2021;90;Oxystele antoni;non infested;3;3;156,90;103,30;8,00
18/04/2021;90;Oxystele antoni;infested;3;1;135,00;88,40;7,00
18/04/2021;90;Oxystele antoni;infested;3;2;208,40;127,30;10,00
18/04/2021;90;Oxystele antoni;infested;3;3;224,50;138,90;8,00
02/05/2021;0;Scutellastra granularis;non infested;1;1;2148,90;NA;NA
02/05/2021;0;Scutellastra granularis;non infested;1;2;2566,40;NA;NA
02/05/2021;0;Scutellastra granularis;non infested;1;3;1125,70;NA;NA
02/05/2021;0;Scutellastra granularis;infested;1;1;1409,90;NA;NA
02/05/2021;0;Scutellastra granularis;infested;1;2;4233,40;NA;NA
02/05/2021;0;Scutellastra granularis;infested;1;3;2419,20;NA;NA
02/05/2021;0;Scutellastra granularis;non infested;2;1;2079,20;NA;NA
02/05/2021;0;Scutellastra granularis;non infested;2;2;1312,00;NA;NA
02/05/2021;0;Scutellastra granularis;non infested;2;3;2469,80;NA;NA
02/05/2021;0;Scutellastra granularis;infested;2;1;730,90;NA;NA
02/05/2021;0;Scutellastra granularis;infested;2;2;1093,50;NA;NA
02/05/2021;0;Scutellastra granularis;infested;2;3;3148,40;NA;NA
02/05/2021;0;Scutellastra granularis;non infested;3;1;2457,70;NA;NA
02/05/2021;0;Scutellastra granularis;non infested;3;2;2367,50;NA;NA
02/05/2021;0;Scutellastra granularis;non infested;3;3;1680,00;NA;NA
02/05/2021;0;Scutellastra granularis;infested;3;1;1561,70;NA;NA
02/05/2021;0;Scutellastra granularis;infested;3;2;1318,70;NA;NA
02/05/2021;0;Scutellastra granularis;infested;3;3;2164,20;NA;NA
02/05/2021;15;Scutellastra granularis;non infested;1;1;790,20;507,00;19,00
02/05/2021;15;Scutellastra granularis;non infested;1;2;1328,80;777,60;22,00
02/05/2021;15;Scutellastra granularis;non infested;1;3;1797,80;1183,90;23,00
02/05/2021;15;Scutellastra granularis;infested;1;1;952,90;583,60;21,00
02/05/2021;15;Scutellastra granularis;infested;1;2;2204,50;1376,40;25,00
02/05/2021;15;Scutellastra granularis;infested;1;3;1594,70;909,00;22,00
02/05/2021;15;Scutellastra granularis;non infested;2;1;487,70;303,30;17,00
02/05/2021;15;Scutellastra granularis;non infested;2;2;751,60;479,20;18,00
02/05/2021;15;Scutellastra granularis;non infested;2;3;1775,10;1014,60;25,00
02/05/2021;15;Scutellastra granularis;infested;2;1;1203,70;714,60;20,00
02/05/2021;15;Scutellastra granularis;infested;2;2;750,90;480,40;20,00
02/05/2021;15;Scutellastra granularis;infested;2;3;2250,20;1266,50;27,00
02/05/2021;15;Scutellastra granularis;non infested;3;1;2726,20;1492,10;26,00
02/05/2021;15;Scutellastra granularis;non infested;3;2;2214,20;1311,50;25,00
02/05/2021;15;Scutellastra granularis;non infested;3;3;760,50;436,00;19,00
02/05/2021;15;Scutellastra granularis;infested;3;1;1420,10;844,30;23,00
02/05/2021;15;Scutellastra granularis;infested;3;2;2200,40;1339,60;25,00
02/05/2021;15;Scutellastra granularis;infested;3;3;590,70;373,80;18,00
02/05/2021;30;Scutellastra granularis;non infested;1;1;2853,00;1797,70;26,00
02/05/2021;30;Scutellastra granularis;non infested;1;2;1472,50;928,20;23,00
02/05/2021;30;Scutellastra granularis;non infested;1;3;2277,40;1580,50;27,00
02/05/2021;30;Scutellastra granularis;infested;1;1;1759,90;1107,60;24,00
02/05/2021;30;Scutellastra granularis;infested;1;2;1846,40;1148,60;25,00
02/05/2021;30;Scutellastra granularis;infested;1;3;1278,90;782,70;21,00
02/05/2021;30;Scutellastra granularis;non infested;2;1;2530,70;1487,50;27,00
02/05/2021;30;Scutellastra granularis;non infested;2;2;1136,00;700,70;22,00
02/05/2021;30;Scutellastra granularis;non infested;2;3;2152,60;1192,40;25,00
02/05/2021;30;Scutellastra granularis;infested;2;1;3586,50;2261,80;27,00
02/05/2021;30;Scutellastra granularis;infested;2;2;2142,20;1363,80;25,00
02/05/2021;30;Scutellastra granularis;infested;2;3;725,80;452,90;17,00
02/05/2021;30;Scutellastra granularis;non infested;3;1;2157,00;1500,70;26,00
